id	title
h4q6j8XQW4Y	"#Shorts / [이 시각 세계] """"후지산 폭발하면 걸어서 이동"""" 일본 피난계획 변경 (2023.03.30/뉴스투데이/MBC)"
b_-uf0_PC-0	#Shorts / [날씨] 따스한 봄바람, 갈수록 기온 올라‥미세먼지 조심 (2023.03.30/뉴스투데이/MBC)
3A1AmCr2nwY	#Shorts / [와글와글] '무법 오토바이' 잡아라‥후면 무인 단속 시행 (2023.03.30/뉴스투데이/MBC)
ivFKe1Xjtqc	#Shorts / [이 시각 세계] 가상현실 메타버스 인기 '시들' (2023.03.30/뉴스투데이/MBC)
QtSqu4y7nts	#Shorts / [이 시각 세계] 경찰차 훔쳐 달아나다 차량서 뛰어내려 숨져 (2023.03.30/뉴스투데이/MBC)
VooO01ra5Ac	"#Shorts / """"윤 대통령, 오염수 이해 구할 것""""‥대통령실 '오보' 일축 (2023.03.30/뉴스투데이/MBC)"
qJdtY6bE7sA	"#Shorts / 권도형 """"도피중 VIP 대접""""‥압수물엔 흥미로운 정보 다수 (2023.03.29/뉴스데스크/MBC)"
OtIfYOZCtr0	"#Shorts / """"소속팀에 전념"""" 김민재‥'동료 불화설'도 제기 (2023.03.29/뉴스데스크/MBC)"
_p6ILeaqr3Y	"#Shorts / """"장갑차로 광화문 점령""""‥""""5년 도피하다 정권 바뀌자 귀국""""? (2023.03.29/뉴스데스크/MBC)"
GICOyWuGg38	2023년 3월 30일 (목) 오늘의 주요 뉴스 #Shorts
EtSJsjoHbDE	#Shorts / [3가지 경제] 직장인 빚 5천만 원 돌파 (2023.03.29/뉴스투데이/MBC)
XUFC18S1NG8	중거리 미사일·기관총 발사..KF-21 무장시험 첫 성공 #Shorts (2023.03.29/MBC News)
aygqBUjMEu0	#Shorts / 여행비·휴가비 지원‥600억 원 푼다 (2023.03.29/12MBC뉴스)
qa9_I784tC0	“억울하고 당황스럽지만, 사법시스템 존중”..’TV조선 재승인 의혹’ 한상혁 방통위원장 영장심사  #Shorts (2023.03.29/MBC News)
vCTs1i5g9NU	#Shorts / 이제는 한국산 '외면'‥자립하는 중국 (2023.03.29/뉴스투데이/MBC)
iqm3e9XiTvU	‘계엄령 문건’ 조현천, 도피 5년여 만 귀국..압송 조사중  #Shorts (2023.03.29/MBC News)
lTGNtvu8ulw	#Shorts / '계엄 문건' 조현천 귀국‥공항서 체포 (2023.03.29/뉴스투데이/MBC)
