etag	id	date	channel	title	thumb_url	ch_title	tags	duration	view	likes	favorites	comments	topcs
W1Ug2NuXbwgeCDvkbX0DL2kWUzA	kQ74XvLvObQ	2022-10-26T00:30:08Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / [이 시각 세계] 바이든 ""'더티밤' 빌미로 핵무기 사용하면 심각한 실수"" (2022.10.26/뉴스투데이/MBC)"	https://i.ytimg.com/vi/kQ74XvLvObQ/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT51S	4535	67.0	0	5.0	['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']
UYbwWHtSpFw99ujMDh7bv0GQNRU	nlCVdKMf-80	2022-10-25T23:30:10Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [신선한 경제] 정규직·비정규직 임금 격차 160만 원 (2022.10.26/뉴스투데이/MBC)	https://i.ytimg.com/vi/nlCVdKMf-80/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT27S	2579	57.0	0	11.0	NA
xWyVRndJJkYTEO6pjFgX8g6ebZE	x4j9V721-a0	2022-10-25T23:15:02Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / 경찰, 'BTS 모자 판매' 사실관계 확인 착수 (2022.10.26/뉴스투데이/MBC)	https://i.ytimg.com/vi/x4j9V721-a0/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT27S	3962	55.0	0	2.0	NA
aSqVqgjNds7mNI2OQNN1QjZ3hBM	R8zhChpvqo0	2022-10-25T22:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / 세부서 일부 승객 귀국‥국토부, 현지 조사 착수 (2022.10.26/뉴스투데이/MBC)	https://i.ytimg.com/vi/R8zhChpvqo0/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT56S	3464	53.0	0	0.0	NA
rYX6GUZ6acYxIuczPfNRIXZrcGg	cRlUGdZ0OpE	2022-10-25T22:30:04Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / 대구 농수산물시장 불‥""점포 70개 잿더미"" (2022.10.26/뉴스투데이/MBC)"	https://i.ytimg.com/vi/cRlUGdZ0OpE/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT56S	4055	83.0	0	13.0	NA
w62SctvuSy9xiGQVY9SHrSCa9cw	HjSac9myfWY	2022-10-25T22:15:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / 42살 인도계 영국 총리 취임에 인도인들도 ""환영"" (2022.10.25/뉴스데스크/MBC)"	https://i.ytimg.com/vi/HjSac9myfWY/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT54S	4413	70.0	0	4.0	['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']
Jz8kmcxBPuq73kFZzA9lCEQQsa8	sTcKbkeBJyA	2022-10-25T22:00:33Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / ""오른팔이 회전날개 걸리면서 사고""‥불매운동 장기화 조짐 (2022.10.25/뉴스데스크/MBC)"	https://i.ytimg.com/vi/sTcKbkeBJyA/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT55S	2985	58.0	0	9.0	NA
qcFMmrVdFEeRywrS1Ke6zF14Hjw	7C-NIkmEzao	2022-10-25T21:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / 상하이에서도 ""장기집권 반대"" 공개 시위‥'시황제' 등극에 주가는 폭락 (2022.10.25/뉴스데스크/MBC)"	https://i.ytimg.com/vi/7C-NIkmEzao/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT56S	3799	85.0	0	4.0	['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']
LTPaAfgHr1fz1_k9jqBH1TM3LSA	VUGBhxiE8O4	2022-10-25T21:39:08Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [집중취재M] 돈줄 마른 부동산 PF‥공사연기·중단에 '줄도산' 우려도 (2022.10.25/뉴스데스크/MBC)	https://i.ytimg.com/vi/VUGBhxiE8O4/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT57S	3494	57.0	0	9.0	NA
d9Gpuc5heYitgRIiPh8hRMnZFgo	9KCuClWB9SA	2022-10-25T21:09:33Z	UCF4Wxdo3inmxP-Y59wXDsFw	2022년 10월 26일 (수) 오늘의 주요 뉴스 #Shorts	https://i.ytimg.com/vi/9KCuClWB9SA/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT1M	2047	65.0	0	5.0	['https://en.wikipedia.org/wiki/Society']
