index	videoId	title	thumbnails	viewCount	frame0Thumbnails	timestamp	channelHandle	channelId	channelTitle	channelThumbnails	duration
11	lh9gQcwukO8	주식 투자, 언제 해야 하나? 금리 인하 시기 피할 필요 #Shorts(2023.02.23/뉴스프리데스크/MBC)	[{'url': 'https://i.ytimg.com/vi/lh9gQcwukO8/hq2.jpg?sqp=-oaymwEkCMoBEOgCSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDvQiOEbYEogcfRtsjLL_OgvIB6tQ', 'width': 202, 'height': 360}]	5400	[{'url': 'https://i.ytimg.com/vi/lh9gQcwukO8/frame0.jpg', 'width': 270, 'height': 480}]						1 minute
12	vWXmW17B9Hk	환율 상승이 위기 아냐...이창용 총재 '금리 동결' 뒤 숨겨진 셈법 #Shorts(2023.02.23/뉴스프리데스크/MBC)	[{'url': 'https://i.ytimg.com/vi/vWXmW17B9Hk/hq2.jpg?sqp=-oaymwEkCMoBEOgCSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLBG71TkZEDNU5EY8-zFBb-sltPEVg', 'width': 202, 'height': 360}]	4100	[{'url': 'https://i.ytimg.com/vi/vWXmW17B9Hk/frame0.jpg', 'width': 270, 'height': 480}]						56 seconds
13	YYdnqF3d7UM	2023년 2월 24일 (금) 오늘의 주요 뉴스 #Shorts	[{'url': 'https://i.ytimg.com/vi/YYdnqF3d7UM/hq720_2.jpg?sqp=-oaymwEkCJgDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLA3Uc8C2Skn5yHJBzG7p8deE9Wfuw', 'width': 408, 'height': 720}]	8100	[{'url': 'https://i.ytimg.com/vi/YYdnqF3d7UM/frame0.jpg', 'width': 610, 'height': 1076}]						49 seconds
14	C_rkizLX1aA	급류에서, 헤엄을 잘하는 '말'보다 '소'가 살아 남는 이유 #Shorts(2023.02.21/뉴스프리데스크/MBC)	[{'url': 'https://i.ytimg.com/vi/C_rkizLX1aA/hq2.jpg?sqp=-oaymwEkCMoBEOgCSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLCmhzM4DSFaFzLpbNWNzKmDkrxidA', 'width': 202, 'height': 360}]	6400	[{'url': 'https://i.ytimg.com/vi/C_rkizLX1aA/frame0.jpg', 'width': 270, 'height': 480}]						1 minute
15	R9Cjw82BuCw	"""엄마 나 핸드폰 고장났어"".. 진화하는 메신저피싱 대책 없나 #Shorts(2023.02.20/뉴스프리데스크/MBC)"	[{'url': 'https://i.ytimg.com/vi/R9Cjw82BuCw/hq2.jpg?sqp=-oaymwEkCMoBEOgCSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLAO9vFXjrJg6xD9H9UuC5lAq9nmeg', 'width': 202, 'height': 360}]	6200	[{'url': 'https://i.ytimg.com/vi/R9Cjw82BuCw/frame0.jpg', 'width': 270, 'height': 480}]						1 minute
16	_2WnwoeuZbE	주주가 임원 보수 감시한다 금융당국 '세이온페이' 도입 #Shorts(2023.02.20/뉴스프리데스크/MBC)	[{'url': 'https://i.ytimg.com/vi/_2WnwoeuZbE/hq2.jpg?sqp=-oaymwEkCMoBEOgCSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDZlQZoU_GTu45oOBLQz0y0OJikbA', 'width': 202, 'height': 360}]	2100	[{'url': 'https://i.ytimg.com/vi/_2WnwoeuZbE/frame0.jpg', 'width': 270, 'height': 480}]						54 seconds
17	Dw5u_79W3S8	금융권 '성과급 잔치' 끝나나..은행 성과급 환수하는 '클로백' #Shorts(2023.02.20/뉴스프리데스크/MBC)	[{'url': 'https://i.ytimg.com/vi/Dw5u_79W3S8/hq2.jpg?sqp=-oaymwEkCMoBEOgCSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDI5UXIhaHUnv7QNHlhgz_HKVEZ6w', 'width': 202, 'height': 360}]	1700	[{'url': 'https://i.ytimg.com/vi/Dw5u_79W3S8/frame0.jpg', 'width': 270, 'height': 480}]						50 seconds
18	A7lImU8OlGo	황당한 보복성 태글..’대체 무슨 생각이야!’/스포츠 톱플레이 #Shorts (2023.02.22/MBC News)	[{'url': 'https://i.ytimg.com/vi/A7lImU8OlGo/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDpNpNswka9Ct4KulmmfJx51sEjNg', 'width': 405, 'height': 720}]	6100	[{'url': 'https://i.ytimg.com/vi/A7lImU8OlGo/frame0.jpg', 'width': 1080, 'height': 1920}]						1 minute
19	MOlJgcVvP6o	“부모님이 절 팔았어요”..지참금 5천만원에 16살 딸 결혼 강요 #Shorts (2023.02.22/MBC News)	[{'url': 'https://i.ytimg.com/vi/MOlJgcVvP6o/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLA4QXrD8xk86NpLmMMOoqNwJzbRNA', 'width': 405, 'height': 720}]	51000	[{'url': 'https://i.ytimg.com/vi/MOlJgcVvP6o/frame0.jpg', 'width': 1080, 'height': 1920}]						56 seconds
20	T6h9b3IYfrc	대통령 와도 못 빼..건물주 ‘주차 횡포’ #Shorts (2023.02.21/MBC News)	[{'url': 'https://i.ytimg.com/vi/T6h9b3IYfrc/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLA3_SuAYtCuFU7sE3di_FUPmF_O_A', 'width': 405, 'height': 720}]	16000	[{'url': 'https://i.ytimg.com/vi/T6h9b3IYfrc/frame0.jpg', 'width': 1080, 'height': 1920}]						54 seconds
